"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] [[affecting]] [[journey]] . ","it 's a [[beautifull]] and [[widely]] [[effects]] [[stroll]] . ",0.00010585784912109375,0.5139115452766418,1,0,1,140,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[melancholic]] and desperate ",0.46218806505203247,0.7782435417175293,0,1,0,32,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.9647243022918701,0.9647243022918701,0,0,1,1,"Skipped"
"the acting , costumes , music , [[cinematography]] and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , [[cinematographer]] and sound are all [[stunning]] given the production 's austere locales . ",0.23870760202407837,0.5135090351104736,1,0,1,65,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[stagnation]] -- very , very [[lent]] . ",0.0018634796142578125,0.5364627838134766,0,1,0,28,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious [[gazed]] at young women . ",0.3266531229019165,0.6120538711547852,1,0,1,60,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[ponderous]] film . ",0.4041210412979126,0.7873240113258362,0,1,0,42,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5597537755966187,0.5597537755966187,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.585632860660553,0.585632860660553,0,0,1,1,"Skipped"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.9787613153457642,0.9787613153457642,1,1,0,1,"Skipped"
"the [[mesmerizing]] [[performances]] of the leads [[keep]] the film grounded and [[keep]] the audience riveted . ","the [[haunting]] [[executions]] of the leads [[retaining]] the film grounded and [[sustain]] the audience riveted . ",0.019599556922912598,0.5020029544830322,1,0,1,139,"Successful"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.7665318250656128,0.7665318250656128,1,1,0,1,"Skipped"
"... the [[film]] [[suffers]] from a [[lack]] of [[humor]] ( something [[needed]] to [[balance]] out the [[violence]] ) ... ","... the [[cinema]] [[experiencing]] from a [[inadequacy]] of [[droll]] ( something [[compel]] to [[balances]] out the [[onslaught]] ) ... ",0.028954803943634033,0.40249550342559814,0,0,0,181,"Failed"
"we root for ( clara and [[paul]] ) , even like them , [[though]] perhaps it 's an [[emotion]] closer to [[pity]] . ","we root for ( clara and [[paulie]] ) , even like them , [[although]] perhaps it 's an [[mood]] closer to [[shame]] . ",0.07520312070846558,0.5133991837501526,1,0,1,114,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacking]] both thrills and humor . ",0.31650620698928833,0.5410060286521912,0,1,0,50,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from [[india]] that [[exquisitely]] [[blends]] music , [[dance]] , [[song]] , and high [[drama]] . ","a [[terrific]] , high-spirited [[orchestra]] from [[indie]] that [[shockingly]] [[shuffle]] music , [[endgame]] , [[ditty]] , and high [[movie]] . ",1.9431114196777344e-05,0.02796149253845215,1,1,1,322,"Failed"
"the [[emotions]] are raw and [[will]] strike a nerve with anyone who 's ever had family trauma . ","the [[feelings]] are raw and [[go]] strike a nerve with anyone who 's ever had family trauma . ",0.40536296367645264,0.556867241859436,1,0,1,37,"Successful"
"[[audrey]] tatou [[has]] a [[knack]] for [[picking]] roles that [[magnify]] her [[outrageous]] [[charm]] , and in this [[literate]] [[french]] [[comedy]] , she 's as morning-glory [[exuberant]] as she was in [[amélie]] . ","[[tricia]] tatou [[ai]] a [[donating]] for [[pick]] roles that [[expands]] her [[loathsome]] [[beauty]] , and in this [[schooled]] [[english]] [[entertaining]] , she 's as morning-glory [[soulful]] as she was in [[amelie]] . ",0.0031630992889404297,0.6243632435798645,1,0,1,337,"Successful"
"... the [[movie]] is just a [[plain]] [[old]] [[monster]] . ","... the [[cinematographic]] is just a [[cimarron]] [[immemorial]] [[boogeyman]] . ",0.10612130165100098,0.5936620235443115,0,1,0,126,"Successful"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.943207323551178,0.943207323551178,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.9878741502761841,0.9878741502761841,1,1,0,1,"Skipped"
"the iditarod [[lasts]] for [[days]] - this just [[felt]] like it did . ","the iditarod [[widens]] for [[temps]] - this just [[smelled]] like it did . ",0.3245123624801636,0.5652883648872375,0,1,0,98,"Successful"
"holden caulfield did it better . ","holden caulfield did it better . ",0.8534043431282043,0.8534043431282043,1,1,0,1,"Skipped"
"a [[delectable]] and [[intriguing]] [[thriller]] [[filled]] with [[surprises]] , [[read]] my [[lips]] is an [[original]] . ","a [[delish]] and [[mysterious]] [[caper]] [[filler]] with [[wonder]] , [[lee]] my [[mouth]] is an [[frst]] . ",0.0002740025520324707,0.568212628364563,1,0,1,160,"Successful"
"seldom has a movie so closely matched the [[spirit]] of a man and his [[work]] . ","seldom has a movie so closely matched the [[philosophy]] of a man and his [[operate]] . ",0.12940442562103271,0.5036107301712036,1,0,1,77,"Successful"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from stale parody to raunchy [[sex]] gags to formula romantic comedy . ","nicks , seemingly [[unknowns]] what 's going to make people laugh , runs the gamut from stale parody to raunchy [[intercourse]] gags to formula romantic comedy . ",0.021780729293823242,0.5059807300567627,0,1,0,65,"Successful"
"the action switches between past and present , but the material link is too [[tenuous]] to anchor the emotional connections that purport to [[span]] a 125-year [[divide]] . ","the action switches between past and present , but the material link is too [[frailty]] to anchor the emotional connections that purport to [[sprawl]] a 125-year [[hyphenate]] . ",0.13932693004608154,0.5158604383468628,0,1,0,127,"Successful"
"it 's an [[offbeat]] [[treat]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an [[jokey]] [[manipulating]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ",0.03609651327133179,0.5677140951156616,1,0,1,70,"Successful"
"it 's a cookie-cutter [[movie]] , a cut-and-paste job . ","it 's a cookie-cutter [[cinematography]] , a cut-and-paste job . ",0.40798598527908325,0.6204760074615479,0,1,0,50,"Successful"
"i had to look [[away]] - this was god [[awful]] . ","i had to look [[outward]] - this was god [[catastrophic]] . ",0.06797593832015991,0.5043396949768066,0,1,0,32,"Successful"
"[[thanks]] to scott 's charismatic roger and [[eisenberg]] 's [[sweet]] nephew , [[roger]] dodger is one of the most [[compelling]] variations on in the company of men . ","[[forgave]] to scott 's charismatic roger and [[schwartzman]] 's [[mild]] nephew , [[rog]] dodger is one of the most [[powerful]] variations on in the company of men . ",0.08551186323165894,0.5058672428131104,1,0,1,137,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a [[handful]] of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a [[handfuls]] of unintentional howlers and numerous yawns . ",0.18432319164276123,0.6507631540298462,0,1,0,21,"Successful"
"a [[gorgeous]] , [[witty]] , [[seductive]] [[movie]] . ","a [[great]] , [[sarcastic]] , [[interesting]] [[video]] . ",0.0003750324249267578,0.11627441644668579,1,1,1,137,"Failed"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.5039454698562622,0.5039454698562622,1,1,0,1,"Skipped"
"it [[does]] n't [[believe]] in itself , it has no [[sense]] of [[humor]] ... it 's just [[plain]] [[bored]] . ","it [[fact]] n't [[suppose]] in itself , it has no [[feeling]] of [[laughing]] ... it 's just [[unadulterated]] [[irritate]] . ",0.007103621959686279,0.18478238582611084,0,0,0,138,"Failed"
"a [[sequence]] of [[ridiculous]] [[shoot]] - 'em - up [[scenes]] . ","a [[footage]] of [[comical]] [[heaving]] - 'em - up [[image]] . ",0.029717743396759033,0.441933810710907,0,0,0,115,"Failed"
"the weight of the piece , the [[unerring]] professionalism of the chilly production , and the [[fascination]] embedded in the lurid topic [[prove]] [[recommendation]] enough . ","the weight of the piece , the [[inexorable]] professionalism of the chilly production , and the [[passion]] embedded in the lurid topic [[showing]] [[suggestion]] enough . ",0.14461344480514526,0.5600722432136536,1,0,1,129,"Successful"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's [[wild]] chimpanzees is [[short]] on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's [[untamed]] chimpanzees is [[little]] on the thrills the oversize medium demands . ",0.18673837184906006,0.5213849544525146,0,1,0,47,"Successful"
"as surreal as a [[dream]] and as [[detailed]] as a photograph , as [[visually]] [[dexterous]] as it is at times imaginatively overwhelming . ","as surreal as a [[dreaming]] and as [[depth]] as a photograph , as [[eyesight]] [[smart]] as it is at times imaginatively overwhelming . ",0.0156441330909729,0.500290036201477,1,0,1,70,"Successful"
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",0.8059602975845337,0.8059602975845337,0,0,1,1,"Skipped"
"there 's ... [[tremendous]] [[energy]] from the cast , a [[sense]] of [[playfulness]] and [[excitement]] that [[seems]] [[appropriate]] . ","there 's ... [[hefty]] [[energies]] from the cast , a [[idea]] of [[theatricality]] and [[disturbance]] that [[appears]] [[fit]] . ",0.022279977798461914,0.5108116865158081,1,0,1,210,"Successful"
"this [[illuminating]] documentary [[transcends]] our preconceived vision of the holy land and its [[inhabitants]] , revealing the human [[complexities]] beneath . ","this [[lit]] documentary [[outshine]] our preconceived vision of the holy land and its [[residents]] , revealing the human [[complications]] beneath . ",0.0017088055610656738,0.5780421495437622,1,0,1,119,"Successful"
"the [[subtle]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the [[convoluted]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.22063541412353516,0.5353999137878418,1,0,1,49,"Successful"
"[[holm]] ... [[embodies]] the [[character]] with an [[effortlessly]] [[regal]] [[charisma]] . ","[[thomsen]] ... [[incarnate]] the [[personalities]] with an [[immediately]] [[royal]] [[mojo]] . ",0.017068922519683838,0.2029125690460205,1,1,1,130,"Failed"
"the [[title]] not only [[describes]] its [[main]] [[characters]] , but the [[lazy]] [[people]] behind the camera as [[well]] . ","the [[securities]] not only [[highlighted]] its [[top]] [[distinctive]] , but the [[unmotivated]] [[citizenry]] behind the camera as [[so]] . ",0.004449367523193359,0.1269790530204773,0,0,0,210,"Failed"
"it [[offers]] [[little]] beyond the momentary joys of pretty and weightless intellectual entertainment . ","it [[tender]] [[minimalist]] beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.4579155445098877,0.7179980278015137,0,1,0,94,"Successful"
"a synthesis of cliches and absurdities that seems positively [[decadent]] in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively [[perishable]] in its cinematic flash and emptiness . ",0.30429762601852417,0.5141270756721497,0,1,0,25,"Successful"
"a [[subtle]] and well-crafted ( for the most part ) chiller . ","a [[fragile]] and well-crafted ( for the most part ) chiller . ",0.0962027907371521,0.6605742573738098,1,0,1,35,"Successful"
"has a lot of the virtues of eastwood at his best . ","has a lot of the virtues of eastwood at his best . ",0.751656711101532,0.751656711101532,0,0,1,1,"Skipped"
"it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ","it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ",0.9244670867919922,0.9244670867919922,1,1,0,1,"Skipped"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.5807266235351562,0.5807266235351562,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",0.5647675395011902,0.5647675395011902,0,0,1,1,"Skipped"
"[[mr]]. tsai is a very [[original]] [[artist]] in his [[medium]] , and what time is it there ? ","[[bernd]]. tsai is a very [[frst]] [[creators]] in his [[mean]] , and what time is it there ? ",0.05432099103927612,0.5784460306167603,1,0,1,91,"Successful"
"sade is an [[engaging]] [[look]] at the [[controversial]] eponymous and [[fiercely]] atheistic [[hero]] . ","sade is an [[hires]] [[sees]] at the [[shady]] eponymous and [[forcefully]] atheistic [[heroes]] . ",0.04368478059768677,0.6116719841957092,1,0,1,173,"Successful"
"so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.6713129878044128,0.6713129878044128,1,1,0,1,"Skipped"
"a [[tender]] , [[heartfelt]] [[family]] [[drama]] . ","a [[offers]] , [[devout]] [[home]] [[tragedy]] . ",0.000943601131439209,0.30592501163482666,1,1,1,107,"Failed"
"... a [[hollow]] joke told by a cinematic gymnast [[having]] too [[much]] [[fun]] embellishing the misanthropic tale to actually engage it . ","... a [[emptying]] joke told by a cinematic gymnast [[adopting]] too [[sizable]] [[charmer]] embellishing the misanthropic tale to actually engage it . ",0.01850581169128418,0.6468263864517212,0,1,0,81,"Successful"
"the [[cold]] [[turkey]] would 've been a [[far]] [[better]] [[title]] . ","the [[cool]] [[turkeys]] would 've been a [[supremely]] [[more]] [[entitled]] . ",0.027386367321014404,0.3937670588493347,0,0,0,92,"Failed"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.6309809684753418,0.6309809684753418,1,1,0,1,"Skipped"
"it 's just disappointingly [[superficial]] -- a movie that has all the elements necessary to [[be]] a fascinating , [[involving]] character [[study]] , but never does more than scratch the surface . ","it 's just disappointingly [[conspicuous]] -- a movie that has all the elements necessary to [[worden]] a fascinating , [[entailed]] character [[examines]] , but never does more than scratch the surface . ",0.026831626892089844,0.5213599801063538,0,1,0,134,"Successful"
"this is a story of two misfits who do n't [[stand]] a chance alone , but together they are magnificent . ","this is a story of two misfits who do n't [[remain]] a chance alone , but together they are magnificent . ",0.46775925159454346,0.5741919279098511,1,0,1,25,"Successful"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.6948311924934387,0.6948311924934387,1,1,0,1,"Skipped"
"the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ","the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ",0.7620753049850464,0.7620753049850464,0,0,1,1,"Skipped"
"on this [[tricky]] [[topic]] , [[tadpole]] is [[very]] [[much]] a [[step]] in the [[right]] [[direction]] , with its [[blend]] of [[frankness]] , [[civility]] and [[compassion]] . ","on this [[difficult]] [[question]] , [[tadpoles]] is [[too]] [[extraordinarily]] a [[stage]] in the [[suitably]] [[directions]] , with its [[mixed]] of [[naivete]] , [[conceit]] and [[empathy]] . ",0.031752586364746094,0.5144327878952026,1,0,1,305,"Successful"
"the [[script]] kicks in , and mr. hartley 's [[distended]] [[pace]] and foot-dragging [[rhythms]] follow . ","the [[screenwriting]] kicks in , and mr. hartley 's [[quivering]] [[rapidity]] and foot-dragging [[accelerates]] follow . ",0.03333920240402222,0.5268670320510864,0,1,0,78,"Successful"
"you [[wonder]] why enough was n't just a [[music]] [[video]] [[rather]] than a full-length [[movie]] . ","you [[surprises]] why enough was n't just a [[musicians]] [[photographer]] [[altogether]] than a full-length [[cinematography]] . ",0.0022707581520080566,0.08533406257629395,0,0,0,116,"Failed"
"if you 're hard up for raunchy college humor , this is your ticket [[right]] here . ","if you 're hard up for raunchy college humor , this is your ticket [[well]] here . ",0.38423484563827515,0.6877914667129517,1,0,1,14,"Successful"
"a [[fast]] , [[funny]] , [[highly]] [[enjoyable]] [[movie]] . ","a [[straightaway]] , [[comedian]] , [[much]] [[pretty]] [[video]] . ",0.003319084644317627,0.4205402731895447,1,1,1,178,"Failed"
