"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] [[journey]] . ","it 's a [[dark]] and often [[consuming]] [[affair]] . ",0.07212209701538086,0.690800130367279,1,0,1,67,"Successful"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5056101083755493,0.5056101083755493,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to [[pretend]] that nolan is poised to embark a major career as a commercial yet [[critical]] filmmaker . ",0.08648145198822021,0.3598319888114929,1,1,1,47,"Failed"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[being]] [[used]] the production 's austere locales . ",0.13607579469680786,0.4060325026512146,1,1,1,49,"Failed"
"it 's [[slow]] -- very , very slow . ","it 's [[good]] -- very , very slow . ",0.363591730594635,0.8334972858428955,0,1,0,19,"Successful"
"[[although]] laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at [[young]] women . ","[[though]] laced with [[jokes]] and a few fanciful touches , the film is a [[highly]] serious look at [[teenage]] women . ",0.10373669862747192,0.3505096435546875,1,1,1,22,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[entertaining]] film . ",0.35265302658081055,0.88835608959198,0,1,0,49,"Successful"
"or doing [[last]] year 's taxes with your ex-wife . ","or doing [[good]] year 's taxes with your ex-wife . ",0.2613712549209595,0.7743964195251465,0,1,0,26,"Successful"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.7707257270812988,0.7707257270812988,0,0,1,1,"Skipped"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been [[sitting]] naked on an igloo , formula 51 sank from quirky to jerky to [[utter]] turkey . ","in exactly 89 [[minute]] , most of which passed as slowly as if i 'd been [[shown]] naked on an igloo , formula 51 sank from quirky to jerky to [[warm]] turkey . ",0.04957479238510132,0.45493847131729126,0,0,0,53,"Failed"
"the mesmerizing [[performances]] of the leads keep the film grounded and [[keep]] the audience riveted . ","the mesmerizing [[rendition]] of the leads keep the film grounded and [[keeping]] the audience riveted . ",0.13901567459106445,0.20222705602645874,1,1,1,14,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6092098355293274,0.6092098355293274,1,1,0,1,"Skipped"
"... the film suffers from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film suffers from a [[sense]] of humor ( something needed to balance out the violence ) ... ",0.11400038003921509,0.47633302211761475,0,0,0,37,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion [[closer]] to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion [[unrelated]] to pity . ",0.42023515701293945,0.5094170570373535,1,0,1,45,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.6865687370300293,0.6865687370300293,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[high-spirited]] musical from india that exquisitely blends music , dance , song , and high drama . ","a [[serious]] , [[provocative]] musical from india that exquisitely blends music , dance , song , and high drama . ",0.029675662517547607,0.047356605529785156,1,1,1,63,"Failed"
"the emotions are raw and will strike a nerve with [[anyone]] who 's ever had family trauma . ","the emotions are raw and will strike a nerve with [[nothing]] who 's ever had family trauma . ",0.27977806329727173,0.46004748344421387,1,1,1,27,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous [[antics]] , and in this literate french comedy , she 's as morning-glory [[bound]] as she was in amélie . ",0.21037840843200684,0.40473872423171997,1,1,1,46,"Failed"
"... the movie is just a plain [[old]] monster . ","... the movie is just a plain [[good]] monster . ",0.2906891703605652,0.7434326410293579,0,1,0,38,"Successful"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.5931873321533203,0.5931873321533203,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.6095725297927856,0.6095725297927856,1,1,0,1,"Skipped"
"the [[iditarod]] lasts for days - this just felt [[like]] it did . ","the [[power]] lasts for days - this just felt [[while]] it did . ",0.09290379285812378,0.5155385136604309,0,1,0,67,"Successful"
"[[holden]] [[caulfield]] did it [[better]] . ","[[daniel]] [[seldom]] did it [[once]] . ",0.36287909746170044,0.5586512088775635,0,1,0,45,"Successful"
"a delectable and [[intriguing]] thriller filled with [[surprises]] , [[read]] my [[lips]] is an [[original]] . ","a delectable and [[deadly]] thriller filled with [[violence]] , [[thinking]] my [[victim]] is an [[innocent]] . ",0.04958975315093994,0.5621399879455566,1,0,1,154,"Successful"
"seldom has a movie so closely matched the [[spirit]] of a man and his work . ","seldom has a movie so closely matched the [[mind]] of a man and his work . ",0.11534911394119263,0.24950867891311646,1,1,1,10,"Failed"
