"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[charing]] and often affecting [[joruney]] . ",0.07212209701538086,0.5183157920837402,1,0,1,13,"Successful"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5056101083755493,0.5056101083755493,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is poised to embark a major [[career]] as a commercial [[yet]] [[inventive]] [[filmmaker]] . ","allows us to [[ope]] that nolan is poised to embark a major [[areer]] as a commercial [[yt]] [[inrentive]] [[fgilmmaker]] . ",0.08648145198822021,0.6740806102752686,1,0,1,32,"Successful"
"the acting , costumes , [[music]] , [[cinematography]] and sound are all [[astounding]] [[given]] the [[production]] 's [[austere]] locales . ","the acting , costumes , [[msic]] , [[cifematography]] and sound are all [[Lstounding]] [[gibven]] the [[poduction]] 's [[aJstere]] locales . ",0.13607579469680786,0.5195550918579102,1,0,1,35,"Successful"
"it 's [[slow]] -- very , very slow . ","it 's [[sloT]] -- very , very slow . ",0.363591730594635,0.5773849487304688,0,1,0,7,"Successful"
"although laced with [[humor]] and a few [[fanciful]] [[touches]] , the [[film]] is a [[refreshingly]] serious look at [[young]] women . ","although laced with [[hCmor]] and a few [[fanWciful]] [[toucheZ]] , the [[filZm]] is a [[refeshingly]] serious look at [[oyung]] women . ",0.10373669862747192,0.6266739964485168,1,0,1,35,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[Sedious]] film . ",0.35265302658081055,0.6308673620223999,0,1,0,8,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[lat]] year 's [[axes]] with your ex-wife . ",0.2613712549209595,0.456620454788208,0,0,0,21,"Failed"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.7707257270812988,0.7707257270812988,0,0,1,1,"Skipped"
"in exactly 89 [[minutes]] , most of which passed as [[slowly]] as if i 'd been [[sitting]] [[naked]] on an igloo , [[formula]] [[51]] [[sank]] from quirky to [[jerky]] to [[utter]] turkey . ","in exactly 89 [[minuqtes]] , most of which passed as [[Dslowly]] as if i 'd been [[itting]] [[naed]] on an igloo , [[fformula]] [[1]] [[Jank]] from quirky to [[erky]] to [[tter]] turkey . ",0.04957479238510132,0.08697867393493652,0,0,0,75,"Failed"
"the [[mesmerizing]] [[performances]] of the leads keep the film grounded and keep the audience riveted . ","the [[mesmDerizing]] [[perforamnces]] of the leads keep the film grounded and keep the audience riveted . ",0.13901567459106445,0.5243146419525146,1,0,1,18,"Successful"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6092098355293274,0.6092098355293274,1,1,0,1,"Skipped"
"... the film [[suffers]] from a [[lack]] of humor ( something needed to balance out the [[violence]] ) ... ","... the film [[sufefrs]] from a [[lac]] of humor ( something needed to balance out the [[viloence]] ) ... ",0.11400038003921509,0.5338847041130066,0,1,0,21,"Successful"
"we root for ( [[clara]] and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( [[Qlara]] and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.42023515701293945,0.7321102023124695,1,0,1,15,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.6865687370300293,0.6865687370300293,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[high-spirited]] [[musical]] from india that [[exquisitely]] blends [[music]] , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a [[Porgeous]] , [[Jigh-spirited]] [[msuical]] from india that [[exqDuisitely]] blends [[msic]] , [[Sdance]] , [[snog]] , and [[hih]] [[drSma]] . ",0.029675662517547607,0.6555497646331787,1,0,1,48,"Successful"
"the [[emotions]] are raw and will strike a nerve with anyone who 's ever had family trauma . ","the [[Rmotions]] are raw and will strike a nerve with anyone who 's ever had family trauma . ",0.27977806329727173,0.5138400793075562,1,0,1,13,"Successful"
"audrey tatou has a [[knack]] for picking roles that magnify her outrageous [[charm]] , and in this literate [[french]] comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a [[knZack]] for picking roles that magnify her outrageous [[harm]] , and in this literate [[frencu]] comedy , she 's as morning-glory [[eduberant]] as she was in amélie . ",0.21037840843200684,0.5186740159988403,1,0,1,30,"Successful"
"... the movie is just a [[plain]] [[old]] monster . ","... the movie is just a [[eplain]] [[odl]] monster . ",0.2906891703605652,0.45084238052368164,0,0,0,21,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.5931873321533203,0.5931873321533203,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.6095725297927856,0.6095725297927856,1,1,0,1,"Skipped"
"the iditarod lasts for [[days]] - this just felt [[like]] it did . ","the iditarod lasts for [[ays]] - this just felt [[liFe]] it did . ",0.09290379285812378,0.278372585773468,0,0,0,26,"Failed"
"holden [[caulfield]] did it better . ","holden [[caIlfield]] did it better . ",0.36287909746170044,0.3671220541000366,0,0,0,16,"Failed"
"a [[delectable]] and [[intriguing]] [[thriller]] filled with [[surprises]] , [[read]] my [[lips]] is an [[original]] . ","a [[deectable]] and [[intrgiuing]] [[khriller]] filled with [[surprhises]] , [[erad]] my [[lip]] is an [[orgiinal]] . ",0.04958975315093994,0.5589644908905029,1,0,1,37,"Successful"
"seldom has a movie so closely matched the [[spirit]] of a man and his [[work]] . ","seldom has a movie so closely matched the [[sRirit]] of a man and his [[wor]] . ",0.11534911394119263,0.5179613828659058,1,0,1,16,"Successful"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex [[gags]] to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stael]] parody to raunchy sex [[gaMs]] to formula romantic comedy . ",0.39617615938186646,0.57957923412323,0,1,0,26,"Successful"
"the [[action]] switches between [[past]] and present , but the material [[link]] is too [[tenuous]] to anchor the emotional connections that [[purport]] to [[span]] a [[125-year]] [[divide]] . ","the [[acJion]] switches between [[pats]] and present , but the material [[lin]] is too [[etnuous]] to anchor the emotional connections that [[purort]] to [[spn]] a [[125-yeaRr]] [[Pivide]] . ",0.0368196964263916,0.054383039474487305,0,0,0,71,"Failed"
