"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] [[journey]] . ","it 's a [[chaOming]] and often [[afefcting]] [[jopurney]] . ",0.00015425682067871094,0.9114464521408081,1,0,1,17,"Successful"
"unflinchingly [[bleak]] and [[desperate]] ","unflinchingly [[blek]] and [[despVrate]] ",0.03254598379135132,0.28498977422714233,0,0,0,16,"Failed"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[invenive]] filmmaker . ",0.14997780323028564,0.606084942817688,1,0,1,17,"Successful"
"the acting , costumes , music , [[cinematography]] and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , [[cinematogBraphy]] and sound are all astounding given the production 's austere locales . ",0.10353195667266846,0.5338805913925171,1,0,1,15,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[slo]] -- very , very [[scow]] . ",0.0029249191284179688,0.507010817527771,0,1,0,11,"Successful"
"although laced with humor and a few [[fanciful]] touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few [[anciful]] touches , the film is a [[reMreshingly]] serious look at young women . ",0.07632780075073242,0.5540730953216553,1,0,1,20,"Successful"
"a [[sometimes]] [[tedious]] [[film]] . ","a [[sometime]] [[etdious]] [[fil]] . ",0.0013913512229919434,0.20772308111190796,0,0,0,16,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.771350085735321,0.771350085735321,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's [[easygoing]] [[blend]] of comedy and romance . ","you do n't have to know about music to appreciate the film 's [[Casygoing]] [[bleAd]] of comedy and romance . ",0.16081100702285767,0.5659937858581543,1,0,1,18,"Successful"
"in [[exactly]] 89 minutes , most of which [[passed]] as [[slowly]] as if i 'd been [[sitting]] naked on an igloo , formula 51 sank from quirky to jerky to [[utter]] [[turkey]] . ","in [[eZactly]] 89 minutes , most of which [[pasaed]] as [[slolwy]] as if i 'd been [[siting]] naked on an igloo , formula 51 sank from quirky to jerky to [[uttefr]] [[turkeS]] . ",0.10787534713745117,0.5533614158630371,0,1,0,48,"Successful"
"the [[mesmerizing]] [[performances]] of the leads keep the film grounded and keep the audience riveted . ","the [[mesmergizing]] [[erformances]] of the leads keep the film grounded and keep the audience riveted . ",0.05635666847229004,0.6029286980628967,1,0,1,18,"Successful"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6973544955253601,0.6973544955253601,1,1,0,1,"Skipped"
"... the [[film]] [[suffers]] from a [[lack]] of humor ( something needed to balance out the [[violence]] ) ... ","... the [[filI]] [[sDuffers]] from a [[laZk]] of humor ( something needed to balance out the [[qviolence]] ) ... ",0.03352385759353638,0.452761709690094,0,0,0,41,"Failed"
