"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting journey . ","it 's a [[charing]] and often affecting journey . ",0.07212209701538086,0.3103916645050049,1,1,1,164,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5056101083755493,0.5056101083755493,1,1,0,1,"Skipped"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[ibventive]] filmmaker . ",0.08648145198822021,0.2269524335861206,1,1,1,327,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all astounding [[guven]] the production 's austere locales . ",0.13607579469680786,0.2276032567024231,1,1,1,439,"Failed"
"it 's [[slow]] -- very , very slow . ","it 's [[siow]] -- very , very slow . ",0.363591730594635,0.592165470123291,0,1,0,27,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at [[young]] women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at [[yFoung]] women . ",0.10373669862747192,0.15910619497299194,1,1,1,367,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[tAedious]] film . ",0.35265302658081055,0.6308673620223999,0,1,0,105,"Successful"
"or doing [[last]] year 's taxes with your ex-wife . ","or doing [[lat]] year 's taxes with your ex-wife . ",0.2613712549209595,0.37909257411956787,0,0,0,90,"Failed"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.7707257270812988,0.7707257270812988,0,0,1,1,"Skipped"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 [[minuets]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.04957479238510132,0.059107840061187744,0,0,0,377,"Failed"
"the mesmerizing [[performances]] of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing [[pdrformances]] of the leads keep the film grounded and keep the audience riveted . ",0.13901567459106445,0.24979382753372192,1,1,1,342,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6092098355293274,0.6092098355293274,1,1,0,1,"Skipped"
"... the film [[suffers]] from a lack of humor ( something needed to balance out the violence ) ... ","... the film [[surfers]] from a lack of humor ( something needed to balance out the violence ) ... ",0.11400038003921509,0.32989054918289185,0,0,0,253,"Failed"
"we root for ( clara and [[paul]] ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and [[pail]] ) , even like them , though perhaps it 's an emotion closer to pity . ",0.42023515701293945,0.7894623279571533,1,0,1,232,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.6865687370300293,0.6865687370300293,1,1,0,1,"Skipped"
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high [[drama]] . ","a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high [[darma]] . ",0.029675662517547607,0.04509514570236206,1,1,1,394,"Failed"
"the [[emotions]] are raw and will strike a nerve with anyone who 's ever had family trauma . ","the [[emptions]] are raw and will strike a nerve with anyone who 's ever had family trauma . ",0.27977806329727173,0.6102467775344849,1,0,1,196,"Successful"
"audrey tatou has a knack for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous [[carm]] , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.21037840843200684,0.28442442417144775,1,1,1,529,"Failed"
"... the movie is just a [[plain]] old monster . ","... the movie is just a [[pain]] old monster . ",0.2906891703605652,0.4412975311279297,0,0,0,83,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.5931873321533203,0.5931873321533203,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.6095725297927856,0.6095725297927856,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just felt [[like]] it did . ","the iditarod lasts for days - this just felt [[luke]] it did . ",0.09290379285812378,0.14618706703186035,0,0,0,119,"Failed"
"holden [[caulfield]] did it better . ","holden [[caufield]] did it better . ",0.36287909746170044,0.4131324291229248,0,0,0,116,"Failed"
"a delectable and intriguing thriller filled with surprises , read my [[lips]] is an original . ","a delectable and intriguing thriller filled with surprises , read my [[lps]] is an original . ",0.04958975315093994,0.07441443204879761,1,1,1,324,"Failed"
"seldom has a movie so closely matched the [[spirit]] of a man and his work . ","seldom has a movie so closely matched the [[siprit]] of a man and his work . ",0.11534911394119263,0.34266161918640137,1,1,1,173,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[shale]] parody to raunchy sex gags to formula romantic comedy . ",0.39617615938186646,0.49373215436935425,0,0,0,469,"Failed"
"the action switches between [[past]] and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between [[pat]] and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0.0368196964263916,0.044409871101379395,0,0,0,487,"Failed"
"it 's an offbeat treat that pokes fun at the democratic exercise while also examining its [[significance]] for those who take part . ","it 's an offbeat treat that pokes fun at the democratic exercise while also examining its [[sIignificance]] for those who take part . ",0.11188524961471558,0.15148711204528809,1,1,1,369,"Failed"
"it 's a [[cookie-cutter]] movie , a cut-and-paste job . ","it 's a [[ciokie-cutter]] movie , a cut-and-paste job . ",0.46816128492355347,0.5972944498062134,0,1,0,175,"Successful"
"i had to look [[away]] - this was god awful . ","i had to look [[asay]] - this was god awful . ",0.06155276298522949,0.11842995882034302,0,0,0,52,"Failed"
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[compelling]] variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[cUompelling]] variations on in the company of men . ",0.08593344688415527,0.14221853017807007,1,1,1,461,"Failed"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.5572677850723267,0.5572677850723267,1,1,0,1,"Skipped"
"a gorgeous , [[witty]] , seductive movie . ","a gorgeous , [[withy]] , seductive movie . ",0.04917919635772705,0.09346246719360352,1,1,1,145,"Failed"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.5020178556442261,0.5020178556442261,1,1,0,1,"Skipped"
"it does n't believe in itself , it has no sense of humor ... it 's just [[plain]] bored . ","it does n't believe in itself , it has no sense of humor ... it 's just [[plin]] bored . ",0.04454928636550903,0.05887538194656372,0,0,0,126,"Failed"
"a sequence of [[ridiculous]] shoot - 'em - up scenes . ","a sequence of [[rdiculous]] shoot - 'em - up scenes . ",0.12437605857849121,0.23484104871749878,0,0,0,156,"Failed"
"the weight of the [[piece]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the [[pice]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",0.17616057395935059,0.7379090785980225,1,0,1,594,"Successful"
"( w ) hile [[long]] on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile [[ling]] on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0.46645587682724,0.6415221691131592,0,1,0,543,"Successful"
"as surreal as a [[dream]] and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a [[drem]] and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",0.32722294330596924,0.7454854249954224,1,0,1,448,"Successful"
"escaping the studio , piccoli is [[warmly]] affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is [[wWarmly]] affecting and so is this adroitly minimalist movie . ",0.3395911455154419,0.5899827480316162,1,0,1,323,"Successful"
"there 's ... tremendous energy from the cast , a sense of playfulness and [[excitement]] that seems appropriate . ","there 's ... tremendous energy from the cast , a sense of playfulness and [[excitment]] that seems appropriate . ",0.09665423631668091,0.1517365574836731,1,1,1,343,"Failed"
"this illuminating documentary transcends our preconceived [[vision]] of the holy land and its inhabitants , revealing the human complexities beneath . ","this illuminating documentary transcends our preconceived [[vizion]] of the holy land and its inhabitants , revealing the human complexities beneath . ",0.13446933031082153,0.2554910182952881,1,1,1,587,"Failed"
"the [[subtle]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the [[sUubtle]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.46579474210739136,0.8370512127876282,1,0,1,278,"Successful"
"holm ... embodies the character with an effortlessly regal [[charisma]] . ","holm ... embodies the character with an effortlessly regal [[charima]] . ",0.07524633407592773,0.1293821930885315,1,1,1,269,"Failed"
"the title not only describes its main characters , but the [[lazy]] people behind the camera as well . ","the title not only describes its main characters , but the [[lFazy]] people behind the camera as well . ",0.13486987352371216,0.21054768562316895,0,0,0,271,"Failed"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.6284911632537842,0.6284911632537842,1,1,0,1,"Skipped"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.595542311668396,0.595542311668396,1,1,0,1,"Skipped"
"a [[subtle]] and well-crafted ( for the most part ) chiller . ","a [[sbtle]] and well-crafted ( for the most part ) chiller . ",0.13465595245361328,0.25269007682800293,1,1,1,153,"Failed"
"has a lot of the virtues of eastwood at his [[best]] . ","has a lot of the virtues of eastwood at his [[brst]] . ",0.23475366830825806,0.5376642942428589,1,0,1,102,"Successful"
"it 's hampered by a lifetime-channel kind of [[plot]] and a lead actress who is out of her depth . ","it 's hampered by a lifetime-channel kind of [[polt]] and a lead actress who is out of her depth . ",0.10111778974533081,0.19312262535095215,0,0,0,248,"Failed"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.5489231944084167,0.5489231944084167,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted [[drama]] . ","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted [[darma]] . ",0.05350750684738159,0.08421212434768677,1,1,1,439,"Failed"
"mr. tsai is a very original [[artist]] in his medium , and what time is it there ? ","mr. tsai is a very original [[adtist]] in his medium , and what time is it there ? ",0.1955355405807495,0.24912041425704956,1,1,1,145,"Failed"
"sade is an [[engaging]] look at the controversial eponymous and fiercely atheistic hero . ","sade is an [[enraging]] look at the controversial eponymous and fiercely atheistic hero . ",0.1409839391708374,0.2956714630126953,1,1,1,329,"Failed"
"so devoid of any [[kind]] of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so devoid of any [[kond]] of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.056095898151397705,0.08262872695922852,0,0,0,445,"Failed"
"a tender , heartfelt family [[drama]] . ","a tender , heartfelt family [[darma]] . ",0.06760567426681519,0.13488763570785522,1,1,1,138,"Failed"
"... a hollow [[joke]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","... a hollow [[joie]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ",0.0851089358329773,0.2288808822631836,0,0,0,401,"Failed"
"the cold turkey [[would]] 've been a far better title . ","the cold turkey [[wold]] 've been a far better title . ",0.11774486303329468,0.21469885110855103,0,0,0,118,"Failed"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.614476203918457,0.614476203918457,1,1,0,1,"Skipped"
