"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting journey . ","it 's a [[cOharming]] and often affecting journey . ",0.00010585784912109375,0.06219273805618286,1,1,1,164,"Failed"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[blek]] and desperate ",0.46218806505203247,0.6662154793739319,0,1,0,164,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.9647243022918701,0.9647243022918701,0,0,1,1,"Skipped"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[aatounding]] given the production 's austere locales . ",0.23870760202407837,0.49983006715774536,1,1,1,439,"Failed"
"it 's [[slow]] -- very , very slow . ","it 's [[siow]] -- very , very slow . ",0.0018634796142578125,0.030929207801818848,0,0,0,27,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious [[liok]] at young women . ",0.3266531229019165,0.6637732982635498,1,0,1,367,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[tddious]] film . ",0.4041210412979126,0.6876912117004395,0,1,0,105,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5597537755966187,0.5597537755966187,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.585632860660553,0.585632860660553,0,0,1,1,"Skipped"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.9787613153457642,0.9787613153457642,1,1,0,1,"Skipped"
"the [[mesmerizing]] performances of the leads keep the film grounded and keep the audience riveted . ","the [[mEesmerizing]] performances of the leads keep the film grounded and keep the audience riveted . ",0.019599556922912598,0.18225079774856567,1,1,1,342,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.7665318250656128,0.7665318250656128,1,1,0,1,"Skipped"
"... the film suffers from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film suffers from a [[lak]] of humor ( something needed to balance out the violence ) ... ",0.028954803943634033,0.07339036464691162,0,0,0,253,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to [[pity]] . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to [[pify]] . ",0.07520312070846558,0.1729324460029602,1,1,1,232,"Failed"
