"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting journey . ","it 's a charming and often affecting journey . ",1.3947486877441406e-05,1.3947486877441406e-05,1,1,1,1,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.8100788593292236,0.8100788593292236,1,1,0,1,"Skipped"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.023400843143463135,0.023400843143463135,1,1,1,1,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",0.001058042049407959,0.001058042049407959,1,1,1,1,"Failed"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.00895535945892334,0.00895535945892334,0,0,0,1,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.00034248828887939453,0.00034248828887939453,1,1,1,1,"Failed"
"a sometimes tedious film . ","a sometimes tedious film . ",0.0005922317504882812,0.0005922317504882812,0,0,0,1,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6760679483413696,0.6760679483413696,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.02372908592224121,0.02372908592224121,1,1,1,1,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.3856481909751892,0.3856481909751892,0,0,0,1,"Failed"
"the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ",0.0002314448356628418,0.0002314448356628418,1,1,1,1,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.9852325320243835,0.9852325320243835,1,1,0,1,"Skipped"
"... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ",0.034030795097351074,0.034030795097351074,0,0,0,1,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.20344316959381104,0.20344316959381104,1,1,1,1,"Failed"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.9616243243217468,0.9616243243217468,1,1,0,1,"Skipped"
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",0.0005177855491638184,0.0005177855491638184,1,1,1,1,"Failed"
"the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ",0.0006048679351806641,0.0006048679351806641,1,1,1,1,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.000409543514251709,0.000409543514251709,1,1,1,1,"Failed"
"... the movie is just a plain old monster . ","... the movie is just a plain old monster . ",0.08351624011993408,0.08351624011993408,0,0,0,1,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.9204156398773193,0.9204156398773193,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.9997329711914062,0.9997329711914062,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.9965413808822632,0.9965413808822632,1,1,0,1,"Skipped"
"holden caulfield did it better . ","holden caulfield did it better . ",0.13901472091674805,0.13901472091674805,0,0,0,1,"Failed"
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original . ",0.00013458728790283203,0.00013458728790283203,1,1,1,1,"Failed"
"seldom has a movie so closely matched the spirit of a man and his work . ","seldom has a movie so closely matched the spirit of a man and his work . ",0.004365503787994385,0.004365503787994385,1,1,1,1,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0.025876283645629883,0.025876283645629883,0,0,0,1,"Failed"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0.0031847357749938965,0.0031847357749938965,0,0,0,1,"Failed"
"it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ",7.11679458618164e-05,7.11679458618164e-05,1,1,1,1,"Failed"
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste job . ",0.9012654423713684,0.9012654423713684,1,1,0,1,"Skipped"
"i had to look away - this was god awful . ","i had to look away - this was god awful . ",0.8694299459457397,0.8694299459457397,1,1,0,1,"Skipped"
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",0.004325807094573975,0.004325807094573975,1,1,1,1,"Failed"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.9925633668899536,0.9925633668899536,1,1,0,1,"Skipped"
"a gorgeous , witty , seductive movie . ","a gorgeous , witty , seductive movie . ",3.600120544433594e-05,3.600120544433594e-05,1,1,1,1,"Failed"
