"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] [[journey]] . ","it 's a [[dark]] and often [[complicated]] [[room]] . ",0.00015425682067871094,0.9957491755485535,1,0,1,65,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[warm]] and desperate ",0.03254598379135132,0.9727581143379211,0,1,0,43,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[prolific]] filmmaker . ",0.14997780323028564,0.5112417936325073,1,0,1,30,"Successful"
"the acting , costumes , music , [[cinematography]] and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , [[film]] and sound are all astounding given the production 's austere locales . ",0.10353195667266846,0.3888061046600342,1,1,1,13,"Failed"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[gentle]] -- very , very [[gentle]] . ",0.0029249191284179688,0.999736487865448,0,1,0,68,"Successful"
"although laced with humor and a few [[fanciful]] touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few [[slight]] touches , the film is a refreshingly serious look at young women . ",0.07632780075073242,0.721867561340332,1,0,1,38,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[hilarious]] film . ",0.0013913512229919434,0.997200071811676,0,1,0,49,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.771350085735321,0.771350085735321,1,1,0,1,"Skipped"
"you do n't have to know about music to [[appreciate]] the film 's easygoing blend of comedy and [[romance]] . ","you do n't have to know about music to [[handle]] the film 's easygoing blend of comedy and [[genre]] . ",0.16081100702285767,0.8779341578483582,1,0,1,54,"Successful"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[oddly]] as if i 'd been sitting naked on an igloo , formula 51 [[swung]] from quirky to jerky to utter turkey . ",0.10787534713745117,0.6596524715423584,0,1,0,90,"Successful"
"the [[mesmerizing]] performances of the leads keep the film grounded and [[keep]] the audience riveted . ","the [[passionate]] performances of the leads keep the film grounded and [[get]] the audience riveted . ",0.05635666847229004,0.36264556646347046,1,1,1,21,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6973544955253601,0.6973544955253601,1,1,0,1,"Skipped"
"... the film suffers from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film suffers from a [[form]] of humor ( something needed to balance out the violence ) ... ",0.03352385759353638,0.20223647356033325,0,0,0,37,"Failed"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[although]] perhaps it 's an emotion closer to pity . ",0.46933192014694214,0.5348060131072998,1,0,1,29,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[needs]] both thrills and humor . ",0.481262743473053,0.6364977359771729,0,1,0,18,"Successful"
"a gorgeous , high-spirited musical from india that exquisitely blends music , [[dance]] , [[song]] , and high drama . ","a gorgeous , high-spirited musical from india that exquisitely blends music , [[dances]] , [[music]] , and high drama . ",0.0004318356513977051,0.002224266529083252,1,1,1,19,"Failed"
"the emotions are raw and will strike a nerve with [[anyone]] who 's ever had family trauma . ","the emotions are raw and will strike a nerve with [[anybody]] who 's ever had family trauma . ",0.23363757133483887,0.6755293607711792,1,0,1,27,"Successful"
"audrey tatou has a knack for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her outrageous [[antics]] , and in this literate french comedy , she 's as morning-glory [[clad]] as she was in amélie . ",0.0026913881301879883,0.42125892639160156,1,1,1,46,"Failed"
"... the [[movie]] is just a plain [[old]] [[monster]] . ","... the [[king]] is just a plain [[simple]] [[example]] . ",0.01710808277130127,0.8983849287033081,0,1,0,134,"Successful"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.8935447335243225,0.8935447335243225,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.8241676092147827,0.8241676092147827,1,1,0,1,"Skipped"
"the iditarod lasts for [[days]] - this just felt like it did . ","the iditarod lasts for [[ages]] - this just felt like it did . ",0.25896042585372925,0.8864691853523254,0,1,0,32,"Successful"
"holden [[caulfield]] did it [[better]] . ","holden [[somehow]] did it [[then]] . ",0.09066057205200195,0.956102728843689,0,1,0,24,"Successful"
"a delectable and [[intriguing]] thriller filled with surprises , read my [[lips]] is an original . ","a delectable and [[deadly]] thriller filled with surprises , read my [[tongue]] is an original . ",0.0007984042167663574,0.7801201939582825,1,0,1,95,"Successful"
"seldom has a movie so closely matched the [[spirit]] of a man and his work . ","seldom has a movie so closely matched the [[mind]] of a man and his work . ",0.12517178058624268,0.31908679008483887,1,1,1,10,"Failed"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from stale parody to raunchy sex [[gags]] to formula romantic comedy . ","nicks , seemingly [[unsure]] what 's going to make people laugh , runs the gamut from stale parody to raunchy sex [[comedies]] to formula romantic comedy . ",0.02933269739151001,0.6009904146194458,0,1,0,64,"Successful"
"the action switches between past and [[present]] , but the material link is too tenuous to anchor the emotional connections that purport to [[span]] a 125-year divide . ","the action switches between past and [[current]] , but the material link is too tenuous to anchor the emotional connections that purport to [[form]] a 125-year divide . ",0.05431413650512695,0.3906129002571106,0,0,0,41,"Failed"
"it 's an [[offbeat]] treat that pokes fun at the democratic exercise while also [[examining]] its significance for those who take part . ","it 's an [[epic]] treat that pokes fun at the democratic exercise while also [[showing]] its significance for those who take part . ",0.001125633716583252,0.002426445484161377,1,1,1,27,"Failed"
"it 's a [[cookie-cutter]] movie , a cut-and-paste job . ","it 's a [[fine]] movie , a cut-and-paste job . ",0.43112844228744507,0.9792810678482056,0,1,0,39,"Successful"
"i had to [[look]] [[away]] - this was god [[awful]] . ","i had to [[cheer]] [[up]] - this was god [[less]] . ",0.0706440806388855,0.8935460448265076,0,1,0,60,"Successful"
"[[thanks]] to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[compelling]] variations on in the company of men . ","[[owing]] to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[complete]] variations on in the company of men . ",0.07675588130950928,0.5415960550308228,1,0,1,79,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.7813029885292053,0.7813029885292053,1,1,0,1,"Skipped"
"a gorgeous , [[witty]] , seductive movie . ","a gorgeous , [[slow]] , seductive movie . ",0.0003376007080078125,0.853385329246521,1,0,1,46,"Successful"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.7165178060531616,0.7165178060531616,1,1,0,1,"Skipped"
"it does n't believe in itself , it has no sense of humor ... it 's just [[plain]] bored . ","it does n't believe in itself , it has no sense of humor ... it 's just [[got]] bored . ",0.026750683784484863,0.38427209854125977,0,0,0,29,"Failed"
"a sequence of [[ridiculous]] shoot - 'em - up scenes . ","a sequence of [[intense]] shoot - 'em - up scenes . ",0.01023334264755249,0.9844952821731567,0,1,0,42,"Successful"
"the weight of the [[piece]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation [[enough]] . ","the weight of the [[subject]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation [[point]] . ",0.1858994960784912,0.4048718810081482,1,1,1,28,"Failed"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[short]] on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[big]] on the thrills the oversize medium demands . ",0.44620996713638306,0.5747160911560059,0,1,0,30,"Successful"
"as surreal as a dream and as [[detailed]] as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as [[precise]] as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",0.07353448867797852,0.10182899236679077,1,1,1,15,"Failed"
"escaping the studio , piccoli is warmly [[affecting]] and so is this adroitly minimalist movie . ","escaping the studio , piccoli is warmly [[taken]] and so is this adroitly minimalist movie . ",0.061724305152893066,0.581190824508667,1,0,1,49,"Successful"
"there 's ... tremendous energy from the cast , a sense of playfulness and [[excitement]] that seems appropriate . ","there 's ... tremendous energy from the cast , a sense of playfulness and [[ease]] that seems appropriate . ",0.006401777267456055,0.06652581691741943,1,1,1,15,"Failed"
"this [[illuminating]] documentary [[transcends]] our preconceived vision of the holy land and its inhabitants , [[revealing]] the human complexities beneath . ","this [[entire]] documentary [[depicts]] our preconceived vision of the holy land and its inhabitants , [[showing]] the human complexities beneath . ",0.0063530802726745605,0.8620174527168274,1,0,1,63,"Successful"
"the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.5349675416946411,0.5349675416946411,0,0,1,1,"Skipped"
"[[holm]] ... embodies the character with an effortlessly regal [[charisma]] . ","[[taylor]] ... embodies the character with an effortlessly regal [[authority]] . ",0.002559065818786621,0.6916133165359497,1,0,1,75,"Successful"
"the [[title]] not only describes its main characters , but the lazy [[people]] [[behind]] the camera as well . ","the [[article]] not only describes its main characters , but the lazy [[man]] [[inside]] the camera as well . ",0.04781758785247803,0.31896358728408813,0,0,0,45,"Failed"
"it offers little [[beyond]] the momentary joys of pretty and weightless intellectual entertainment . ","it offers little [[against]] the momentary joys of pretty and weightless intellectual entertainment . ",0.1905975341796875,0.9154072999954224,0,1,0,46,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.9211929440498352,0.9211929440498352,1,1,0,1,"Skipped"
"a [[subtle]] and well-crafted ( for the most part ) chiller . ","a [[clean]] and well-crafted ( for the most part ) chiller . ",0.007043361663818359,0.7399907112121582,1,0,1,51,"Successful"
"has a lot of the virtues of eastwood at his best . ","has a lot of the virtues of eastwood at his best . ",0.9062044024467468,0.9062044024467468,0,0,1,1,"Skipped"
"it 's hampered by a lifetime-channel kind of plot and a lead [[actress]] who is out of her depth . ","it 's hampered by a lifetime-channel kind of plot and a lead [[actor]] who is out of her depth . ",0.25769925117492676,0.45321524143218994,0,0,0,10,"Failed"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.5892020463943481,0.5892020463943481,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a [[sensitive]] , extraordinarily well-acted drama . ","for the most part , director anne-sophie birot 's first feature is a [[serious]] , extraordinarily well-acted drama . ",0.010078787803649902,0.1424010992050171,1,1,1,13,"Failed"
"[[mr]]. tsai is a very original artist in his medium , and what time is it there ? ","[[m]]. tsai is a very original artist in his medium , and what time is it there ? ",0.0049169063568115234,0.006708383560180664,1,1,1,9,"Failed"
"sade is an [[engaging]] look at the controversial eponymous and fiercely atheistic hero . ","sade is an [[accurate]] look at the controversial eponymous and fiercely atheistic hero . ",0.050492286682128906,0.6553710699081421,1,0,1,56,"Successful"
"so [[devoid]] of any kind of intelligible story that it [[makes]] films [[like]] xxx and collateral damage seem like thoughtful treatises ","so [[full]] of any kind of intelligible story that it [[gives]] films [[under]] xxx and collateral damage seem like thoughtful treatises ",0.07496178150177002,0.20308363437652588,0,0,0,45,"Failed"
"a tender , [[heartfelt]] family drama . ","a tender , [[soothing]] family drama . ",0.0013148188591003418,0.6713604927062988,1,0,1,25,"Successful"
"... a [[hollow]] joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually [[engage]] it . ","... a [[wry]] joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually [[make]] it . ",0.1321229338645935,0.5005398988723755,0,1,0,42,"Successful"
"the cold turkey would 've been a far better [[title]] . ","the cold turkey would 've been a far better [[example]] . ",0.047532081604003906,0.7909858822822571,0,1,0,53,"Successful"
