"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] [[journey]] . ","it 's a [[dark]] and often [[fragmented]] [[memory]] . ",0.00010585784912109375,0.9774651527404785,1,0,1,74,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[good]] and desperate ",0.46218806505203247,0.977403461933136,0,1,0,43,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.9647243022918701,0.9647243022918701,0,0,1,1,"Skipped"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[being]] given the production 's austere locales . ",0.23870760202407837,0.7594753503799438,1,0,1,29,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[good]] -- very , very [[hot]] . ",0.0018634796142578125,0.9988226294517517,0,1,0,64,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious [[looked]] at young women . ",0.3266531229019165,0.6126872897148132,1,0,1,35,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[popular]] film . ",0.4041210412979126,0.9628448486328125,0,1,0,49,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5597537755966187,0.5597537755966187,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.585632860660553,0.585632860660553,0,0,1,1,"Skipped"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.9787613153457642,0.9787613153457642,1,1,0,1,"Skipped"
"the [[mesmerizing]] performances of the leads keep the film grounded and [[keep]] the audience riveted . ","the [[passionate]] performances of the leads keep the film grounded and [[catch]] the audience riveted . ",0.019599556922912598,0.2713569402694702,1,1,1,21,"Failed"
