"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] [[journey]] . ","it 's a [[purty]] and often [[plaguing]] [[passengers]] . ",0.07212209701538086,0.7349120378494263,1,0,1,109,"Successful"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5056101083755493,0.5056101083755493,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is poised to embark a major [[career]] as a commercial yet [[inventive]] [[filmmaker]] . ","allows us to [[hoping]] that nolan is poised to embark a major [[errand]] as a commercial yet [[arty]] [[superintendent]] . ",0.08648145198822021,0.5205515623092651,1,0,1,133,"Successful"
"the acting , [[costumes]] , [[music]] , [[cinematography]] and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , [[costume]] , [[artistes]] , [[moviemaking]] and sound are all [[staggering]] [[been]] the production 's austere locales . ",0.13607579469680786,0.5300044417381287,1,0,1,154,"Successful"
"it 's [[slow]] -- very , very slow . ","it 's [[lent]] -- very , very slow . ",0.363591730594635,0.6828916072845459,0,1,0,18,"Successful"
"although laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at [[young]] women . ","although laced with [[travesty]] and a few fanciful touches , the film is a [[blithely]] serious look at [[puerile]] women . ",0.10373669862747192,0.5261695384979248,1,0,1,116,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.35265302658081055,0.7768858671188354,0,1,0,42,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[definitive]] year 's [[fare]] with your ex-wife . ",0.2613712549209595,0.6764678955078125,0,1,0,69,"Successful"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.7707257270812988,0.7707257270812988,0,0,1,1,"Skipped"
"in [[exactly]] 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to [[utter]] turkey . ","in [[quite]] 89 [[moments]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to [[fullest]] turkey . ",0.04957479238510132,0.50522780418396,0,1,0,84,"Successful"
"the [[mesmerizing]] [[performances]] of the leads keep the film grounded and keep the audience riveted . ","the [[mystifying]] [[executions]] of the leads keep the film grounded and keep the audience riveted . ",0.13901567459106445,0.6077460646629333,1,0,1,42,"Successful"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.6092098355293274,0.6092098355293274,1,1,0,1,"Skipped"
"... the film [[suffers]] from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film [[suffering]] from a [[rarity]] of humor ( something needed to balance out the violence ) ... ",0.11400038003921509,0.5290692448616028,0,1,0,90,"Successful"
"we root for ( [[clara]] and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( [[claire]] and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.42023515701293945,0.5371552109718323,1,0,1,16,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.6865687370300293,0.6865687370300293,1,1,0,1,"Skipped"
"a [[gorgeous]] , high-spirited [[musical]] from india that [[exquisitely]] [[blends]] [[music]] , [[dance]] , [[song]] , and high [[drama]] . ","a [[super]] , high-spirited [[artistes]] from india that [[shockingly]] [[mixtures]] [[artistes]] , [[prom]] , [[rhyme]] , and high [[catastrophic]] . ",0.029675662517547607,0.6544386148452759,1,0,1,267,"Successful"
"the [[emotions]] are raw and will strike a nerve with anyone who 's ever had [[family]] trauma . ","the [[feelings]] are raw and will strike a nerve with anyone who 's ever had [[home]] trauma . ",0.27977806329727173,0.5175646543502808,1,0,1,22,"Successful"
"audrey tatou has a [[knack]] for picking roles that magnify her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a [[dons]] for picking roles that magnify her outrageous [[tempt]] , and in this literate french comedy , she 's as morning-glory [[gleeful]] as she was in amélie . ",0.21037840843200684,0.5103715062141418,1,0,1,99,"Successful"
"... the movie is just a [[plain]] [[old]] monster . ","... the movie is just a [[plains]] [[longtime]] monster . ",0.2906891703605652,0.6538252830505371,0,1,0,38,"Successful"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.5931873321533203,0.5931873321533203,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.6095725297927856,0.6095725297927856,1,1,0,1,"Skipped"
"the iditarod lasts for [[days]] - this just felt [[like]] it [[did]] . ","the iditarod lasts for [[moments]] - this just felt [[lover]] it [[fi]] . ",0.09290379285812378,0.6610056161880493,0,1,0,65,"Successful"
"holden caulfield [[did]] it better . ","holden caulfield [[fi]] it better . ",0.36287909746170044,0.7345749139785767,0,1,0,35,"Successful"
"a delectable and [[intriguing]] [[thriller]] filled with [[surprises]] , [[read]] my [[lips]] is an [[original]] . ","a delectable and [[outlandish]] [[slasher]] filled with [[aghast]] , [[dsl]] my [[noses]] is an [[primitive]] . ",0.04958975315093994,0.5789831876754761,1,0,1,101,"Successful"
"seldom has a movie so closely matched the [[spirit]] of a man and his [[work]] . ","seldom has a movie so closely matched the [[sentiment]] of a man and his [[job]] . ",0.11534911394119263,0.5260672569274902,1,0,1,75,"Successful"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[ancient]] parody to raunchy sex gags to formula romantic comedy . ",0.39617615938186646,0.5058673024177551,0,1,0,28,"Successful"
"the [[action]] [[switches]] between [[past]] and present , but the material link is too [[tenuous]] to anchor the emotional connections that purport to [[span]] a 125-year divide . ","the [[work]] [[exchanged]] between [[historical]] and present , but the material link is too [[delicate]] to anchor the emotional connections that purport to [[spanning]] a 125-year divide . ",0.0368196964263916,0.5174546241760254,0,1,0,144,"Successful"
"it 's an [[offbeat]] treat that pokes [[fun]] at the democratic [[exercise]] while also examining its [[significance]] for those who take [[part]] . ","it 's an [[goofy]] treat that pokes [[distracting]] at the democratic [[exercising]] while also examining its [[connotation]] for those who take [[party]] . ",0.11188524961471558,0.5205001831054688,1,0,1,158,"Successful"
"it 's a cookie-cutter movie , a cut-and-paste [[job]] . ","it 's a cookie-cutter movie , a cut-and-paste [[work]] . ",0.46816128492355347,0.6251962780952454,0,1,0,55,"Successful"
"i [[had]] to [[look]] [[away]] - this was god [[awful]] . ","i [[enjoys]] to [[behold]] [[outward]] - this was god [[heinous]] . ",0.06155276298522949,0.5354464054107666,0,1,0,118,"Successful"
"[[thanks]] to scott 's charismatic [[roger]] and eisenberg 's [[sweet]] nephew , roger dodger is one of the most [[compelling]] variations on in the company of men . ","[[owing]] to scott 's charismatic [[kwun]] and eisenberg 's [[sugared]] nephew , roger dodger is one of the most [[unconvincing]] variations on in the company of men . ",0.08593344688415527,0.6588921546936035,1,0,1,129,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.5572677850723267,0.5572677850723267,1,1,0,1,"Skipped"
"a [[gorgeous]] , [[witty]] , [[seductive]] [[movie]] . ","a [[leggy]] , [[psychiatric]] , [[leggy]] [[video]] . ",0.04917919635772705,0.6145190000534058,1,0,1,137,"Successful"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.5020178556442261,0.5020178556442261,1,1,0,1,"Skipped"
"it [[does]] n't believe in itself , it has no sense of humor ... it 's just [[plain]] bored . ","it [[makes]] n't believe in itself , it has no sense of humor ... it 's just [[pure]] bored . ",0.04454928636550903,0.5500004291534424,0,1,0,45,"Successful"
"a sequence of [[ridiculous]] [[shoot]] - 'em - up scenes . ","a sequence of [[nutty]] [[shot]] - 'em - up scenes . ",0.12437605857849121,0.564232349395752,0,1,0,87,"Successful"
"the weight of the [[piece]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the [[pieces]] , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",0.17616057395935059,0.6892950534820557,1,0,1,32,"Successful"
"( w ) hile [[long]] on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile [[most]] on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0.46645587682724,0.7118655443191528,0,1,0,20,"Successful"
"as surreal as a [[dream]] and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a [[nightmare]] and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",0.32722294330596924,0.7609319090843201,1,0,1,31,"Successful"
"escaping the studio , piccoli is [[warmly]] affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is [[frankly]] affecting and so is this adroitly minimalist movie . ",0.3395911455154419,0.6642221212387085,1,0,1,25,"Successful"
"there 's ... [[tremendous]] energy from the [[cast]] , a [[sense]] of playfulness and [[excitement]] that seems appropriate . ","there 's ... [[formidable]] energy from the [[thrown]] , a [[idea]] of playfulness and [[fuss]] that seems appropriate . ",0.09665423631668091,0.5258123874664307,1,0,1,123,"Successful"
"this [[illuminating]] documentary transcends our preconceived [[vision]] of the holy land and its inhabitants , [[revealing]] the human complexities beneath . ","this [[illuminated]] documentary transcends our preconceived [[idea]] of the holy land and its inhabitants , [[expose]] the human complexities beneath . ",0.13446933031082153,0.5211266279220581,1,0,1,127,"Successful"
"the [[subtle]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the [[astute]] strength of `` elling '' is that it never loses touch with the reality of the grim situation . ",0.46579474210739136,0.5403245687484741,1,0,1,49,"Successful"
"holm ... [[embodies]] the [[character]] with an effortlessly [[regal]] [[charisma]] . ","holm ... [[implicates]] the [[specifics]] with an effortlessly [[royalist]] [[tempt]] . ",0.07524633407592773,0.5573367476463318,1,0,1,105,"Successful"
"the [[title]] not only describes its [[main]] characters , but the [[lazy]] people behind the camera as well . ","the [[titles]] not only describes its [[significant]] characters , but the [[unmotivated]] people behind the camera as well . ",0.13486987352371216,0.5536786913871765,0,1,0,68,"Successful"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.6284911632537842,0.6284911632537842,1,1,0,1,"Skipped"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.595542311668396,0.595542311668396,1,1,0,1,"Skipped"
"a [[subtle]] and well-crafted ( for the most [[part]] ) chiller . ","a [[convoluted]] and well-crafted ( for the most [[party]] ) chiller . ",0.13465595245361328,0.6093850135803223,1,0,1,59,"Successful"
"has a lot of the virtues of eastwood at his [[best]] . ","has a lot of the virtues of eastwood at his [[preferable]] . ",0.23475366830825806,0.5891264081001282,1,0,1,29,"Successful"
"it 's [[hampered]] by a lifetime-channel kind of [[plot]] and a lead actress who is out of her depth . ","it 's [[restrained]] by a lifetime-channel kind of [[intrigue]] and a lead actress who is out of her depth . ",0.10111778974533081,0.6571873426437378,0,1,0,60,"Successful"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.5489231944084167,0.5489231944084167,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first [[feature]] is a [[sensitive]] , [[extraordinarily]] well-acted [[drama]] . ","for the most part , director anne-sophie birot 's first [[specifics]] is a [[problematic]] , [[terribly]] well-acted [[cataclysmic]] . ",0.05350750684738159,0.5543811321258545,1,0,1,126,"Successful"
"mr. tsai is a [[very]] original [[artist]] in his medium , and what time is it there ? ","mr. tsai is a [[too]] original [[artistes]] in his medium , and what time is it there ? ",0.1955355405807495,0.9059081077575684,1,0,1,75,"Successful"
"sade is an [[engaging]] look at the controversial eponymous and [[fiercely]] atheistic hero . ","sade is an [[entangled]] look at the controversial eponymous and [[violently]] atheistic hero . ",0.1409839391708374,0.5801024436950684,1,0,1,92,"Successful"
"[[so]] devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","[[well]] devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.056095898151397705,0.5125249624252319,0,1,0,47,"Successful"
"a tender , [[heartfelt]] [[family]] [[drama]] . ","a tender , [[staunch]] [[home]] [[oprah]] . ",0.06760567426681519,0.5827540755271912,1,0,1,69,"Successful"
"... a [[hollow]] [[joke]] [[told]] by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","... a [[emptiness]] [[funny]] [[speaks]] by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ",0.0851089358329773,0.5918304920196533,0,1,0,108,"Successful"
"the [[cold]] [[turkey]] would 've been a [[far]] better [[title]] . ","the [[cool]] [[turkeys]] would 've been a [[immensely]] better [[titles]] . ",0.11774486303329468,0.6554049253463745,0,1,0,89,"Successful"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.614476203918457,0.614476203918457,1,1,0,1,"Skipped"
"it 's just disappointingly [[superficial]] -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly [[conspicuous]] -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0.12366604804992676,0.6262742280960083,0,1,0,24,"Successful"
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",0.8698198795318604,0.8698198795318604,0,0,1,1,"Skipped"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.6169363260269165,0.6169363260269165,1,1,0,1,"Skipped"
"the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ","the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ",0.835283637046814,0.835283637046814,0,0,1,1,"Skipped"
"on this tricky topic , tadpole is [[very]] much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky topic , tadpole is [[totally]] much a step in the right direction , with its blend of frankness , civility and compassion . ",0.11728942394256592,0.5056440830230713,1,0,1,63,"Successful"
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0.7759053707122803,0.7759053707122803,1,1,0,1,"Skipped"
"you wonder why enough was n't just a music [[video]] rather than a full-length movie . ","you wonder why enough was n't just a music [[clip]] rather than a full-length movie . ",0.42259126901626587,0.5000929832458496,0,1,0,14,"Successful"
"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humor , this is your ticket right here . ",0.5025314092636108,0.5025314092636108,0,0,1,1,"Skipped"
"a fast , [[funny]] , highly [[enjoyable]] movie . ","a fast , [[nosy]] , highly [[cosy]] movie . ",0.05778861045837402,0.6106271743774414,1,0,1,61,"Successful"
"[[good]] old-fashioned slash-and-hack is back ! ","[[okay]] old-fashioned slash-and-hack is back ! ",0.2175360918045044,0.6423232555389404,1,0,1,41,"Successful"
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.7055840492248535,0.7055840492248535,1,1,0,1,"Skipped"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0.7240957021713257,0.7240957021713257,1,1,0,1,"Skipped"
"[[exquisitely]] [[nuanced]] in mood tics and dialogue , this chamber drama is superbly acted by the deeply [[appealing]] veteran bouquet and the [[chilling]] but quite [[human]] berling . ","[[shockingly]] [[touchy]] in mood tics and dialogue , this chamber drama is superbly acted by the deeply [[trying]] veteran bouquet and the [[creepy]] but quite [[humanitarian]] berling . ",0.05519646406173706,0.639343798160553,1,0,1,157,"Successful"
"uses high comedy to [[evoke]] [[surprising]] poignance . ","uses high comedy to [[provoke]] [[staggering]] poignance . ",0.20724046230316162,0.682961106300354,1,0,1,87,"Successful"
"one of creepiest , scariest movies to come along in a long , long time , [[easily]] rivaling blair witch or the others . ","one of creepiest , scariest movies to come along in a long , long time , [[immediately]] rivaling blair witch or the others . ",0.42724210023880005,0.5068244934082031,1,0,1,43,"Successful"
"a string of rehashed sight [[gags]] based in [[insipid]] [[vulgarity]] . ","a string of rehashed sight [[hilarious]] based in [[unremarkable]] [[playfulness]] . ",0.07030916213989258,0.6583611965179443,0,1,0,122,"Successful"
"among the year 's most [[intriguing]] [[explorations]] of alientation . ","among the year 's most [[mystifying]] [[crawling]] of alientation . ",0.12403333187103271,0.7073862552642822,1,0,1,105,"Successful"
"the movie [[fails]] to live up to the [[sum]] of its parts . ","the movie [[forget]] to live up to the [[number]] of its parts . ",0.1626994013786316,0.5762759447097778,0,1,0,69,"Successful"
"the son 's room is a triumph of gentility that earns its [[moments]] of pathos . ","the son 's room is a triumph of gentility that earns its [[times]] of pathos . ",0.3638801574707031,0.6594786643981934,1,0,1,35,"Successful"
"there is nothing [[outstanding]] about this film , but it is [[good]] enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing [[unresolved]] about this film , but it is [[bonne]] enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",0.24725341796875,0.6494154930114746,1,0,1,80,"Successful"
"this is a train [[wreck]] of an [[action]] film -- a stupefying attempt by the filmmakers to force-feed james bond into the [[mindless]] xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and [[loud]] bangs . ","this is a train [[desolation]] of an [[actions]] film -- a stupefying attempt by the filmmakers to force-feed james bond into the [[carefree]] xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and [[vibrant]] bangs . ",0.07683950662612915,0.6430531740188599,0,1,0,162,"Successful"
"the draw ( for `` big bad [[love]] '' ) is a solid performance by arliss howard . ","the draw ( for `` big bad [[darlings]] '' ) is a solid performance by arliss howard . ",0.39075660705566406,0.8213202357292175,1,0,1,44,"Successful"
"green might [[want]] to hang onto that ski mask , as [[robbery]] may be the only [[way]] to [[pay]] for his next project . ","green might [[liked]] to hang onto that ski mask , as [[rob]] may be the only [[ways]] to [[makes]] for his next project . ",0.05339813232421875,0.5258256196975708,0,1,0,200,"Successful"
