"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] [[affecting]] [[journey]] . ","it 's a [[chaOming]] and [[foten]] [[affectipng]] [[joruney]] . ",0.00010585784912109375,0.6273276805877686,1,0,1,20,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[bleVk]] and desperate ",0.46218806505203247,0.6326295137405396,0,1,0,8,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.9647243022918701,0.9647243022918701,0,0,1,1,"Skipped"
"the acting , costumes , music , [[cinematography]] and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , [[cinematograIhy]] and sound are all [[Rstounding]] given the production 's austere locales . ",0.23870760202407837,0.6461547613143921,1,0,1,19,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[sBlow]] -- very , very [[sow]] . ",0.0018634796142578125,0.6710314750671387,0,1,0,11,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious [[lofk]] at young women . ",0.3266531229019165,0.6637730598449707,1,0,1,15,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[oedious]] film . ",0.4041210412979126,0.6876912117004395,0,1,0,8,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5597537755966187,0.5597537755966187,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.585632860660553,0.585632860660553,0,0,1,1,"Skipped"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.9787613153457642,0.9787613153457642,1,1,0,1,"Skipped"
"the [[mesmerizing]] [[performances]] of the leads [[keep]] the film grounded and [[keep]] the audience riveted . ","the [[memserizing]] [[performaces]] of the leads [[ekep]] the film grounded and [[kJep]] the audience riveted . ",0.019599556922912598,0.6451383829116821,1,0,1,26,"Successful"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.7665318250656128,0.7665318250656128,1,1,0,1,"Skipped"
"... the film [[suffers]] from a [[lack]] of humor ( [[something]] needed to balance out the [[violence]] ) ... ","... the film [[ruffers]] from a [[lak]] of humor ( [[smething]] needed to balance out the [[vioAence]] ) ... ",0.028954803943634033,0.26570141315460205,0,0,0,40,"Failed"
