"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[beautifull]] and often [[affected]] journey . ",0.00015425682067871094,0.880516767501831,1,0,1,62,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[somber]] and desperate ",0.03254598379135132,0.9444230794906616,0,1,0,32,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventiveness]] filmmaker . ",0.14997780323028564,0.5105831623077393,1,0,1,43,"Successful"
"the acting , costumes , music , [[cinematography]] and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , [[filmmaking]] and sound are all astounding given the production 's austere locales . ",0.10353195667266846,0.5435103178024292,1,0,1,57,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[lent]] -- very , very [[lento]] . ",0.0029249191284179688,0.7764391899108887,0,1,0,28,"Successful"
"although laced with humor and a few [[fanciful]] touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few [[imaginary]] touches , the film is a [[charmingly]] serious look at young women . ",0.07632780075073242,0.7805034518241882,1,0,1,99,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.0013913512229919434,0.6040154695510864,0,1,0,42,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.771350085735321,0.771350085735321,1,1,0,1,"Skipped"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and [[romance]] . ","you do n't have to know about music to appreciate the film 's easygoing blend of comedy and [[fiction]] . ",0.16081100702285767,0.5145996809005737,1,0,1,23,"Successful"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[nicely]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.10787534713745117,0.5174762010574341,0,1,0,32,"Successful"
