"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often [[affecting]] journey . ","it 's a charming and often [[acfecting]] journey . ",1.3947486877441406e-05,5.543231964111328e-05,1,1,1,164,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.8100788593292236,0.8100788593292236,1,1,0,1,"Skipped"
"allows us to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a major career as a commercial yet [[iNnventive]] filmmaker . ",0.023400843143463135,0.929226279258728,1,0,1,327,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[aatounding]] given the production 's austere locales . ",0.001058042049407959,0.032576560974121094,1,1,1,439,"Failed"
"it 's [[slow]] -- very , very slow . ","it 's [[sow]] -- very , very slow . ",0.00895535945892334,0.08669942617416382,0,0,0,27,"Failed"
"although laced with humor and a few [[fanciful]] touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few [[fXanciful]] touches , the film is a refreshingly serious look at young women . ",0.00034248828887939453,0.0011090636253356934,1,1,1,367,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[tAedious]] film . ",0.0005922317504882812,0.7008177042007446,0,1,0,105,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6760679483413696,0.6760679483413696,1,1,0,1,"Skipped"
"you do n't have to know about music to [[appreciate]] the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to [[aRppreciate]] the film 's easygoing blend of comedy and romance . ",0.02372908592224121,0.06207174062728882,1,1,1,249,"Failed"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as [[sdlowly]] as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.3856481909751892,0.7408300638198853,0,1,0,377,"Successful"
"the [[mesmerizing]] performances of the leads keep the film grounded and keep the audience riveted . ","the [[mdsmerizing]] performances of the leads keep the film grounded and keep the audience riveted . ",0.0002314448356628418,0.008507072925567627,1,1,1,342,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.9852325320243835,0.9852325320243835,1,1,0,1,"Skipped"
"... the film [[suffers]] from a lack of humor ( something needed to balance out the violence ) ... ","... the film [[sSuffers]] from a lack of humor ( something needed to balance out the violence ) ... ",0.034030795097351074,0.7927888631820679,0,1,0,253,"Successful"
"we root for ( clara and paul ) , even like them , though perhaps it 's an [[emotion]] closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an [[eEmotion]] closer to pity . ",0.20344316959381104,0.8055453300476074,1,0,1,232,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.9616243243217468,0.9616243243217468,1,1,0,1,"Skipped"
